PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;In light of the increasing volume and sophistication of cyber threats, the Federal Financial Institutions Examination Council (FFIEC) developed the Cybersecurity Assessment Tool (Assessment), on behalf of its members, to help institutions identify their risks and determine their cybersecurity maturity.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;d3-pc-am-b-6;Identification and authentication are required and managed for access to systems, applications, and hardware.;Cybersecurity Controls (Domain 3);Preventative Controls (PC);;aws;;FAIL;IAM password policy does not require at least one lowercase letter.;arn:aws:iam:ap-southeast-2:213146990554:password-policy;iam_password_policy_lowercase;False;213146990554;FFIEC;FFIEC Cybersecurity Assessment Tool framework;
aws;In light of the increasing volume and sophistication of cyber threats, the Federal Financial Institutions Examination Council (FFIEC) developed the Cybersecurity Assessment Tool (Assessment), on behalf of its members, to help institutions identify their risks and determine their cybersecurity maturity.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;d3-pc-am-b-7;Access controls include password complexity and limits to password attempts and reuse.;Cybersecurity Controls (Domain 3);Preventative Controls (PC);;aws;;FAIL;IAM password policy does not require at least one lowercase letter.;arn:aws:iam:ap-southeast-2:213146990554:password-policy;iam_password_policy_lowercase;False;213146990554;FFIEC;FFIEC Cybersecurity Assessment Tool framework;
aws;In light of the increasing volume and sophistication of cyber threats, the Federal Financial Institutions Examination Council (FFIEC) developed the Cybersecurity Assessment Tool (Assessment), on behalf of its members, to help institutions identify their risks and determine their cybersecurity maturity.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;d3-pc-am-b-6;Identification and authentication are required and managed for access to systems, applications, and hardware.;Cybersecurity Controls (Domain 3);Preventative Controls (PC);;aws;;FAIL;IAM password policy does not require minimum length of 14 characters.;arn:aws:iam:ap-southeast-2:213146990554:password-policy;iam_password_policy_minimum_length_14;False;213146990554;FFIEC;FFIEC Cybersecurity Assessment Tool framework;
aws;In light of the increasing volume and sophistication of cyber threats, the Federal Financial Institutions Examination Council (FFIEC) developed the Cybersecurity Assessment Tool (Assessment), on behalf of its members, to help institutions identify their risks and determine their cybersecurity maturity.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;d3-pc-am-b-7;Access controls include password complexity and limits to password attempts and reuse.;Cybersecurity Controls (Domain 3);Preventative Controls (PC);;aws;;FAIL;IAM password policy does not require minimum length of 14 characters.;arn:aws:iam:ap-southeast-2:213146990554:password-policy;iam_password_policy_minimum_length_14;False;213146990554;FFIEC;FFIEC Cybersecurity Assessment Tool framework;
aws;In light of the increasing volume and sophistication of cyber threats, the Federal Financial Institutions Examination Council (FFIEC) developed the Cybersecurity Assessment Tool (Assessment), on behalf of its members, to help institutions identify their risks and determine their cybersecurity maturity.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;d3-pc-am-b-6;Identification and authentication are required and managed for access to systems, applications, and hardware.;Cybersecurity Controls (Domain 3);Preventative Controls (PC);;aws;;FAIL;IAM password policy does not require at least one number.;arn:aws:iam:ap-southeast-2:213146990554:password-policy;iam_password_policy_number;False;213146990554;FFIEC;FFIEC Cybersecurity Assessment Tool framework;
aws;In light of the increasing volume and sophistication of cyber threats, the Federal Financial Institutions Examination Council (FFIEC) developed the Cybersecurity Assessment Tool (Assessment), on behalf of its members, to help institutions identify their risks and determine their cybersecurity maturity.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;d3-pc-am-b-7;Access controls include password complexity and limits to password attempts and reuse.;Cybersecurity Controls (Domain 3);Preventative Controls (PC);;aws;;FAIL;IAM password policy does not require at least one number.;arn:aws:iam:ap-southeast-2:213146990554:password-policy;iam_password_policy_number;False;213146990554;FFIEC;FFIEC Cybersecurity Assessment Tool framework;
aws;In light of the increasing volume and sophistication of cyber threats, the Federal Financial Institutions Examination Council (FFIEC) developed the Cybersecurity Assessment Tool (Assessment), on behalf of its members, to help institutions identify their risks and determine their cybersecurity maturity.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;d3-pc-am-b-6;Identification and authentication are required and managed for access to systems, applications, and hardware.;Cybersecurity Controls (Domain 3);Preventative Controls (PC);;aws;;FAIL;IAM password policy does not require at least one symbol.;arn:aws:iam:ap-southeast-2:213146990554:password-policy;iam_password_policy_symbol;False;213146990554;FFIEC;FFIEC Cybersecurity Assessment Tool framework;
aws;In light of the increasing volume and sophistication of cyber threats, the Federal Financial Institutions Examination Council (FFIEC) developed the Cybersecurity Assessment Tool (Assessment), on behalf of its members, to help institutions identify their risks and determine their cybersecurity maturity.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;d3-pc-am-b-7;Access controls include password complexity and limits to password attempts and reuse.;Cybersecurity Controls (Domain 3);Preventative Controls (PC);;aws;;FAIL;IAM password policy does not require at least one symbol.;arn:aws:iam:ap-southeast-2:213146990554:password-policy;iam_password_policy_symbol;False;213146990554;FFIEC;FFIEC Cybersecurity Assessment Tool framework;
aws;In light of the increasing volume and sophistication of cyber threats, the Federal Financial Institutions Examination Council (FFIEC) developed the Cybersecurity Assessment Tool (Assessment), on behalf of its members, to help institutions identify their risks and determine their cybersecurity maturity.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;d3-pc-am-b-6;Identification and authentication are required and managed for access to systems, applications, and hardware.;Cybersecurity Controls (Domain 3);Preventative Controls (PC);;aws;;FAIL;IAM password policy does not require at least one uppercase letter.;arn:aws:iam:ap-southeast-2:213146990554:password-policy;iam_password_policy_uppercase;False;213146990554;FFIEC;FFIEC Cybersecurity Assessment Tool framework;
aws;In light of the increasing volume and sophistication of cyber threats, the Federal Financial Institutions Examination Council (FFIEC) developed the Cybersecurity Assessment Tool (Assessment), on behalf of its members, to help institutions identify their risks and determine their cybersecurity maturity.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;d3-pc-am-b-7;Access controls include password complexity and limits to password attempts and reuse.;Cybersecurity Controls (Domain 3);Preventative Controls (PC);;aws;;FAIL;IAM password policy does not require at least one uppercase letter.;arn:aws:iam:ap-southeast-2:213146990554:password-policy;iam_password_policy_uppercase;False;213146990554;FFIEC;FFIEC Cybersecurity Assessment Tool framework;
