AUTH_METHOD;TIMESTAMP;ACCOUNT_UID;ACCOUNT_NAME;ACCOUNT_EMAIL;ACCOUNT_ORGANIZATION_UID;ACCOUNT_ORGANIZATION_NAME;ACCOUNT_TAGS;FINDING_UID;PROVIDER;CHECK_ID;CHECK_TITLE;CHECK_TYPE;STATUS;STATUS_EXTENDED;MUTED;SERVICE_NAME;SUBSERVICE_NAME;SEVERITY;RESOURCE_TYPE;RESOURCE_UID;RESOURCE_NAME;RESOURCE_DETAILS;RESOURCE_TAGS;PARTITION;REGION;DESCRIPTION;RISK;RELATED_URL;REMEDIATION_RECOMMENDATION_TEXT;REMEDIATION_RECOMMENDATION_URL;REMEDIATION_CODE_NATIVEIAC;REMEDIATION_CODE_TERRAFORM;REMEDIATION_CODE_CLI;REMEDIATION_CODE_OTHER;COMPLIANCE;CATEGORIES;DEPENDS_ON;RELATED_TO;NOTES;PROWLER_VERSION;ADDITIONAL_URLS;ACCOUNT_OU_UID;ACCOUNT_OU_NAME
profile: None;2026-07-14 16:40:35.360893;213146990554;;;;;;prowler-aws-account_maintain_current_contact_details-213146990554-ap-southeast-2-213146990554;aws;account_maintain_current_contact_details;AWS account contact information is current;Software and Configuration Checks/Industry and Regulatory Standards/AWS Foundational Security Best Practices;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Contact Information.;False;account;;medium;Other;arn:aws:iam::213146990554:root;213146990554;;;aws;ap-southeast-2;**AWS account contact information** is current for the **primary contact** and the **alternate contacts** for `security`, `billing`, and `operations`, with accurate email addresses and phone numbers.;"Outdated or single-person contacts delay **security notifications**, slow **incident response**, and complicate **account recovery**.

AWS may throttle services during abuse mitigation, reducing **availability**. Missed alerts enable ongoing misuse, risking **data exfiltration** and unauthorized changes (**integrity**).";;"Adopt:
- **Primary** and **alternate contacts** for `security`, `billing`, `operations`
- Shared, monitored aliases and SMS-capable phone numbers (non-personal)
- Centralized management across accounts with periodic reviews
- **Least privilege** for who can modify contact data
- Regular reachability tests and documented ownership";https://hub.prowler.com/check/account_maintain_current_contact_details;;"```hcl
# Set the Security alternate contact for the AWS account
resource ""aws_account_alternate_contact"" ""<example_resource_name>"" {
  alternate_contact_type = ""SECURITY""  # Critical: ensures AWS can reach your security team
  email_address          = ""<SECURITY_EMAIL>""  # Critical: contact destination
  name                   = ""<SECURITY_CONTACT_NAME>""
  phone_number           = ""<SECURITY_PHONE>""
  title                  = ""Security""
}
```";"aws account put-alternate-contact --alternate-contact-type=SECURITY --email-address=<SECURITY_EMAIL> --name=""<SECURITY_CONTACT_NAME>"" --phone-number=""<SECURITY_PHONE>"" --title=""Security""";"1. Sign in to the AWS Management Console
2. Open Billing and Cost Management, then click your account name > Account
3. Under Contact information, click Edit, update details, then Update
4. Under Alternate contacts, click Edit
5. Enter Security contact name, email, and phone (use a team alias), then Update
6. Repeat for Billing and Operations if needed";KISA-ISMS-P-2023-korean: 2.10.2 | C5-2025: IAM-03.01AS, IAM-06.06B, SSO-05.06B, SIM-01.03B, INQ-02.01B | ISO27001-2022: A.5.5 | AWS-AI-Security-Framework-1.0: AISF-GOV-03 | NIS2: 2.2.3, 3.5.3.a, 5.1.7.b | ENS-RD2022: op.ext.7.aws.am.1 | AWS-Account-Security-Onboarding: Billing, emergency, security contacts | CIS-1.4: 1.1 | CIS-7.0: 2.2 | CIS-4.0.1: 1.1 | CIS-5.0: 1.1 | CIS-3.0: 1.1 | CIS-1.5: 1.1 | AWS-Well-Architected-Framework-Security-Pillar: SEC03-BP03, SEC10-BP01 | CIS-2.0: 1.1 | KISA-ISMS-P-2023: 2.10.2 | CIS-6.0: 2.1;;;;;5.32.0;https://repost.aws/knowledge-center/update-phone-number | https://support.stax.io/docs/accounts/update-aws-account-contact-details | https://maartenbruntink.nl/blog/2022/09/26/aws-account-hygiene-101-mass-updating-alternate-account-contacts/ | https://docs.aws.amazon.com/security-ir/latest/userguide/update-account-contact-info.html | https://docs.aws.amazon.com/accounts/latest/reference/manage-acct-update-contact-primary.html | https://repost.aws/knowledge-center/add-update-billing-contact | https://aws.amazon.com/blogs/security/update-the-alternate-security-contact-across-your-aws-accounts-for-timely-security-notifications/ | https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_accounts_update_contacts.html | https://docs.aws.amazon.com/accounts/latest/reference/manage-acct-update-contact-alternate.html;;
profile: None;2026-07-14 16:40:35.360893;213146990554;;;;;;prowler-aws-account_security_contact_information_is_registered-213146990554-ap-southeast-2-213146990554;aws;account_security_contact_information_is_registered;AWS account has security alternate contact registered;Software and Configuration Checks/AWS Security Best Practices | Software and Configuration Checks/Industry and Regulatory Standards/AWS Foundational Security Best Practices;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;False;account;;medium;Other;arn:aws:iam::213146990554:root;213146990554;;;aws;ap-southeast-2;Account settings contain a **Security alternate contact** in Alternate Contacts (name, `EmailAddress`, `PhoneNumber`) for targeted AWS security notifications.;"Missing or outdated **security contact** can delay or prevent AWS advisories from reaching responders, increasing risk to:
- Confidentiality: data exfiltration from undetected compromise
- Integrity: unauthorized changes persist longer
- Availability: resource abuse (e.g., cryptomining) and outages";;"Define and maintain a **Security alternate contact**:
- Use a monitored alias (e.g., `security@domain`) and team phone
- Apply to every account (prefer Org-wide automation)
- Review after org/personnel changes and test delivery
- Document ownership and escalation paths
Align with **incident response** and **least privilege** principles.";https://hub.prowler.com/check/account_security_contact_information_is_registered;;"```hcl
# Set the SECURITY alternate contact for the current AWS account
resource ""aws_account_alternate_contact"" ""<example_resource_name>"" {
  alternate_contact_type = ""SECURITY""  # Critical: sets Security contact type
  email_address          = ""security@example.com""  # Contact email
  name                   = ""Security Team""         # Contact name
  phone_number           = ""+1-555-0100""          # Contact phone
}
```";aws account put-alternate-contact --alternate-contact-type SECURITY --email-address <EMAIL_ADDRESS> --name <CONTACT_NAME> --phone-number <PHONE_NUMBER>;"1. Sign in to the AWS Management Console as the root user or an admin with account:PutAlternateContact
2. Click your account name (top-right) and select My Account (or Account)
3. Scroll to Alternate Contacts and click Edit in the Security section
4. Enter Security Email, Name, and Phone Number
5. Click Update (or Save changes)";KISA-ISMS-P-2023-korean: 2.10.2 | C5-2025: OIS-06.01B, SSO-05.06B, SIM-01.03B | ISO27001-2022: A.5.5 | AWS-AI-Security-Framework-1.0: AISF-GOV-03 | NIS2: 1.1.1.a, 1.2.3, 2.2.1, 3.1.2.d, 3.5.3.a, 5.1.7.b | AWS-Foundational-Security-Best-Practices: Account.1 | ENS-RD2022: op.ext.7.aws.am.1 | AWS-Account-Security-Onboarding: Billing, emergency, security contacts | CIS-1.4: 1.2 | CIS-7.0: 2.3 | CIS-4.0.1: 1.2 | CIS-5.0: 1.2 | CIS-3.0: 1.2 | CIS-1.5: 1.2 | PCI-4.0: A1.2.3.1 | AWS-Well-Architected-Framework-Security-Pillar: SEC03-BP03, SEC10-BP01 | CIS-2.0: 1.2 | KISA-ISMS-P-2023: 2.10.2 | CIS-6.0: 2.2;;;;;5.32.0;https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/account_alternate_contact | https://support.icompaas.com/support/solutions/articles/62000234161-1-2-ensure-security-contact-information-is-registered-manual- | https://www.plerion.com/cloud-knowledge-base/ensure-security-contact-information-is-registered | https://repost.aws/articles/ARDFbpt-bvQ8iuErnqVVcCXQ/managing-aws-organization-alternate-contacts-via-csv;;
profile: None;2026-07-14 16:40:35.360893;213146990554;;;;;;prowler-aws-account_security_questions_are_registered_in_the_aws_account-213146990554-ap-southeast-2-213146990554;aws;account_security_questions_are_registered_in_the_aws_account;[DEPRECATED] AWS root user has security challenge questions configured;Software and Configuration Checks/AWS Security Best Practices;MANUAL;Login to the AWS Console as root. Choose your account name on the top right of the window -> My Account -> Configure Security Challenge Questions.;False;account;;medium;Other;arn:aws:iam::213146990554:root;213146990554;;;aws;ap-southeast-2;[DEPRECATED] **AWS account root** configuration may include legacy **security challenge questions** for support identity verification. This evaluates whether those questions are set on the account. *New configuration is discontinued by AWS and remaining support for this feature is time-limited.*;Absence of these questions can limit support-assisted recovery if root credentials or MFA are lost, reducing **availability** and slowing **incident response**. Reliance on KBA also weakens **confidentiality** due to **social engineering**. Treat this as a recovery gap and adopt stronger, phishing-resistant factors.;;"Favor stronger recovery instead of KBA:
- Enforce **MFA for root** and minimize root use
- Keep **alternate contacts** and root email current and protected
- Establish a tightly controlled **break-glass role**, applying least privilege and separation of duties
- Document and test recovery procedures; monitor root activity";https://hub.prowler.com/check/account_security_questions_are_registered_in_the_aws_account;;;;"1. Sign in to the AWS Management Console
2. Navigate to your AWS account settings page at https://console.aws.amazon.com/billing/home?#/account/
3. Scroll down to Configure Security Challenge Questions section and click the Edit link
4. Select three different questions made available by Amazon and provide appropriate answers
5. Store the answers in a secure but accessible location
6. Click the Update button to save the changes";KISA-ISMS-P-2023-korean: 2.5.1, 2.5.3, 2.10.2 | ENS-RD2022: op.ext.7.aws.am.1 | CIS-1.4: 1.3 | CIS-4.0.1: 1.3 | CIS-3.0: 1.3 | CIS-1.5: 1.3 | AWS-Well-Architected-Framework-Security-Pillar: SEC03-BP03, SEC10-BP01 | CIS-2.0: 1.3 | KISA-ISMS-P-2023: 2.5.1, 2.5.3, 2.10.2;;;;;5.32.0;https://www.trendmicro.com/trendaivisiononecloudriskmanagement/knowledge-base/aws/IAM/security-challenge-questions.html;;
profile: None;2026-07-14 16:40:35.360893;213146990554;;;;;;prowler-aws-bedrock_full_access_policy_attached-213146990554-ap-southeast-2-Omico-2IDP;aws;bedrock_full_access_policy_attached;IAM role does not have AmazonBedrockFullAccess managed policy attached;Software and Configuration Checks/AWS Security Best Practices | Software and Configuration Checks/Industry and Regulatory Standards/AWS Foundational Security Best Practices;PASS;IAM Role Omico-2IDP does not have AmazonBedrockFullAccess policy attached.;False;bedrock;;high;AwsIamRole;arn:aws:iam::213146990554:role/Omico-2IDP;Omico-2IDP;;;aws;ap-southeast-2;"**IAM roles** (excluding service roles) are evaluated for attachment of the AWS-managed `AmazonBedrockFullAccess` policy.

This policy grants unrestricted access to all Amazon Bedrock actions and resources.";"The `AmazonBedrockFullAccess` policy grants broad permissions across all Bedrock resources. If a role with this policy is compromised, an attacker could:
- Invoke any model to exfiltrate data or generate harmful content
- Modify guardrails, logging, and security configurations
- Incur significant costs through unrestricted model invocations";;"Apply **least privilege**: replace `AmazonBedrockFullAccess` with a custom policy granting only the specific Bedrock actions required.

Use **permissions boundaries** and **SCPs** to limit the scope of Bedrock permissions. Regularly review access with **IAM Access Analyzer** to identify and remove unused privileges.";https://hub.prowler.com/check/bedrock_full_access_policy_attached;"```yaml
# CloudFormation: IAM Role without AmazonBedrockFullAccess
Resources:
  <example_resource_name>:
    Type: AWS::IAM::Role
    Properties:
      AssumeRolePolicyDocument:
        Version: '2012-10-17'
        Statement:
          - Effect: Allow
            Principal:
              Service: ec2.amazonaws.com
            Action: sts:AssumeRole
      ManagedPolicyArns: []  # Critical: ensure AmazonBedrockFullAccess is NOT attached
```";"```hcl
# IAM Role without AmazonBedrockFullAccess
resource ""aws_iam_role"" ""<example_resource_name>"" {
  assume_role_policy = <<POLICY
{
  ""Version"": ""2012-10-17"",
  ""Statement"": [{
    ""Effect"": ""Allow"",
    ""Principal"": {""Service"": ""ec2.amazonaws.com""},
    ""Action"": ""sts:AssumeRole""
  }]
}
POLICY

  managed_policy_arns = []  # Critical: ensures AmazonBedrockFullAccess is NOT attached
}
```";aws iam detach-role-policy --role-name <ROLE_NAME> --policy-arn arn:aws:iam::aws:policy/AmazonBedrockFullAccess;"1. Open the AWS Console and go to IAM > Roles
2. Select the role flagged by the check
3. On the Permissions tab, find ""AmazonBedrockFullAccess"" under Attached policies
4. Click Detach next to ""AmazonBedrockFullAccess""
5. Confirm the detach
6. Attach a scoped policy granting only required Bedrock actions";SOC2: cc_6_3 | SecNumCloud-3.2: 9.3 | KISA-ISMS-P-2023-korean: 2.5.5 | NIST-CSF-2.0: ac_4 | C5-2025: IAM-06.01B | ISO27001-2022: A.8.2 | AWS-AI-Security-Framework-1.0: AISF-IAM-02 | AWS-Well-Architected-Framework-Security-Pillar: SEC03-BP02 | KISA-ISMS-P-2023: 2.5.5;gen-ai | identity-access;;iam_role_administratoraccess_policy;;5.32.0;https://docs.aws.amazon.com/bedrock/latest/userguide/security-iam.html | https://docs.aws.amazon.com/IAM/latest/UserGuide/best-practices.html#grant-least-privilege;;
profile: None;2026-07-14 16:40:35.360893;213146990554;;;;;;prowler-aws-bedrock_guardrails_configured-213146990554-ap-southeast-2-bedrock-guardrails;aws;bedrock_guardrails_configured;Bedrock has at least one guardrail configured in the audited region;Software and Configuration Checks/AWS Security Best Practices | Software and Configuration Checks/AWS Security Best Practices/Runtime Behavior Analysis;FAIL;Bedrock has no guardrails configured in region ap-southeast-2.;False;bedrock;;medium;Other;arn:aws:bedrock:ap-southeast-2:213146990554:guardrails;bedrock-guardrails;;;aws;ap-southeast-2;"**Amazon Bedrock guardrails** provide reusable safety policies for filtering harmful or unwanted content in model inputs and outputs.

This evaluation checks whether at least one guardrail exists in each successfully scanned region. It does **not** verify that guardrails are attached to agents or passed on individual model invocation API calls.";Without any configured **Bedrock guardrails** in a region, teams lack a native reusable policy object for **content filtering** and **safety controls**. Applications may invoke models without standardized protections against **harmful content**, **prompt injection**, or **sensitive-data exposure** unless equivalent controls are enforced elsewhere.;;"Create at least one **Bedrock guardrail** in each region where Bedrock is used, then separately ensure those guardrails are attached to relevant agents and invocation paths.
- Configure **content filters** for harmful categories (hate, violence, sexual, misconduct)
- Add **sensitive information filters** and **denied topic policies**
- Apply guardrails at the API call level using `guardrailIdentifier` where supported";https://hub.prowler.com/check/bedrock_guardrails_configured;"```yaml
Resources:
  example_resource:
    Type: AWS::Bedrock::Guardrail
    Properties:
      Name: example_resource
      BlockedInputMessaging: ""Blocked""
      BlockedOutputsMessaging: ""Blocked""
      ContentPolicyConfig:
        FiltersConfig:
          - Type: HATE
            InputStrength: HIGH       # Critical: configures content filtering
            OutputStrength: HIGH
```";"```hcl
resource ""aws_bedrock_guardrail"" ""example_resource"" {
  name                      = ""example_resource""
  blocked_input_messaging   = ""Blocked""
  blocked_outputs_messaging = ""Blocked""

  content_policy_config {
    filters_config {
      type            = ""HATE""          # Critical: configures content filtering
      input_strength  = ""HIGH""
      output_strength = ""HIGH""
    }
  }
}
```";aws bedrock create-guardrail --name example_resource --blocked-input-messaging 'Blocked' --blocked-outputs-messaging 'Blocked' --content-policy-config 'filtersConfig=[{type=HATE,inputStrength=HIGH,outputStrength=HIGH}]';"1. Open the AWS Console and go to Amazon Bedrock
2. Select **Guardrails** from the navigation pane
3. Click **Create guardrail**
4. Configure content filters for harmful categories
5. Set input and output messaging for blocked content
6. Click **Create guardrail**";KISA-ISMS-P-2023-korean: 2.10.2 | AWS-AI-Security-Framework-1.0: AISF-AI-01 | KISA-ISMS-P-2023: 2.10.2;gen-ai;;bedrock_guardrail_prompt_attack_filter_enabled | bedrock_guardrail_sensitive_information_filter_enabled | bedrock_agent_guardrail_enabled;This check validates guardrail existence per successfully scanned region. It does not verify attachment to agents or the use of guardrails on model invocations. Regions where Bedrock guardrails cannot be enumerated are skipped to avoid false failures.;5.32.0;https://docs.aws.amazon.com/bedrock/latest/userguide/guardrails.html | https://docs.aws.amazon.com/bedrock/latest/userguide/guardrails-create.html;;
profile: None;2026-07-14 16:40:35.360893;213146990554;;;;;;prowler-aws-bedrock_model_invocation_logging_enabled-213146990554-ap-southeast-2-model-invocation-logging;aws;bedrock_model_invocation_logging_enabled;Amazon Bedrock model invocation logging is enabled;Software and Configuration Checks/AWS Security Best Practices | Software and Configuration Checks/Industry and Regulatory Standards/AWS Foundational Security Best Practices;FAIL;Bedrock Model Invocation Logging is disabled.;False;bedrock;;medium;Other;arn:aws:bedrock:ap-southeast-2:213146990554:model-invocation-logging;model-invocation-logging;;;aws;ap-southeast-2;**Bedrock** model invocation logging captures request, response, and metadata for `Converse`, `ConverseStream`, `InvokeModel`, and `InvokeModelWithResponseStream` calls per Region, delivering records to **CloudWatch Logs** and/or **S3** when configured.;"Without **invocation logs**, you lose **auditability** and **forensic visibility** into model activity.

Credential misuse or **prompt injection/jailbreak** attempts may go unnoticed, enabling data exfiltration and unauthorized spend. Missing traceability weakens **integrity** controls and slows incident response.";;"Enable **model invocation logging** and route events to **CloudWatch Logs** and/or **S3**.

Enforce **least privilege** on log access, use encryption, and set retention/lifecycle policies. Monitor for anomalies and alerts to support **defense in depth** and **separation of duties**.";https://hub.prowler.com/check/bedrock_model_invocation_logging_enabled;;;"aws bedrock put-model-invocation-logging-configuration --logging-config '{""s3Config"":{""bucketName"":""<example_resource_name>""},""textDataDeliveryEnabled"":true}'";"1. Open the Amazon Bedrock console in the target Region
2. Go to Settings > Model invocation logging
3. Toggle Logging to On
4. Select Amazon S3 as the destination and choose <example_resource_name> bucket
5. Under Data types, select Text
6. Click Save";SOC2: cc_a_1_1 | KISA-ISMS-P-2023-korean: 2.9.4, 2.10.2 | C5-2025: AM-01.01AC, OPS-11.02AC, OPS-15.01B, OPS-15.02B, OPS-15.03B, OPS-15.01AC, OPS-26.05B, OPS-26.01AS, SSO-05.01AC, PSS-04.05B | ISO27001-2022: A.8.15 | AWS-AI-Security-Framework-1.0: AISF-AI-05 | NIS2: 3.2.3.c | CCC-v2025.10: CCC.GenAI.CN05.AR01 | KISA-ISMS-P-2023: 2.9.4, 2.10.2;logging | forensics-ready | gen-ai;;;;5.32.0;https://docs.aws.amazon.com/bedrock/latest/userguide/model-invocation-logging.html#model-invocation-logging-console | https://www.trendmicro.com/trendaivisiononecloudriskmanagement/knowledge-base/aws/Bedrock/enable-model-invocation-logging.html | https://docs.aws.amazon.com/bedrock/latest/userguide/model-invocation-logging.html;;
profile: None;2026-07-14 16:40:35.360893;213146990554;;;;;;prowler-aws-bedrock_prompt_management_exists-213146990554-ap-southeast-2-prompt-management;aws;bedrock_prompt_management_exists;Amazon Bedrock Prompt Management prompts exist in the region;Software and Configuration Checks/AWS Security Best Practices;FAIL;No Bedrock Prompt Management prompts exist in region ap-southeast-2.;False;bedrock;;low;Other;arn:aws:bedrock:ap-southeast-2:213146990554:prompt-management;prompt-management;;;aws;ap-southeast-2;"**Bedrock Prompt Management** enables centralized creation, versioning, and governance of prompts used with foundation models.

This region-level check verifies whether at least one managed prompt exists in each scanned region, used as an adoption signal for Prompt Management. The presence of a prompt does not by itself guarantee that every application prompt is managed.";"Without **Prompt Management**, prompts are scattered across applications with no central oversight, versioning, or auditability over instructions sent to foundation models, weakening governance and compliance posture.

Managed prompts are a governance enabler; **prompt injection** defenses are provided by Bedrock **guardrails**, covered by separate checks.";;"Adopt **Bedrock Prompt Management** to centralize prompt definitions, enforce versioning, and maintain governance over model interactions.

Use managed prompts with **guardrails** and apply **least privilege** access controls to restrict who can create or modify prompts.";https://hub.prowler.com/check/bedrock_prompt_management_exists;;;"aws bedrock-agent create-prompt --name example_prompt --default-variant default --variants '[{""name"":""default"",""templateType"":""TEXT"",""templateConfiguration"":{""text"":{""text"":""Your prompt template here.""}}}]'";"1. Open the Amazon Bedrock console
2. Navigate to Prompt Management
3. Click Create prompt
4. Provide a name and configure the prompt template (a prompt can contain at most one variant; additional variants are created via CreatePromptVersion)
5. Save the prompt";KISA-ISMS-P-2023-korean: 2.10.2 | AWS-AI-Security-Framework-1.0: AISF-AI-07 | KISA-ISMS-P-2023: 2.10.2;gen-ai;;bedrock_prompt_encrypted_with_cmk;Results are generated per scanned region. Regions where `ListPrompts` cannot be queried are omitted from the findings.;5.32.0;https://docs.aws.amazon.com/bedrock/latest/userguide/prompt-management.html | https://docs.aws.amazon.com/bedrock/latest/userguide/prompt-management-create.html;;
profile: None;2026-07-14 16:40:35.360893;213146990554;;;;;;prowler-aws-cloudwatch_cross_account_sharing_disabled-213146990554-ap-southeast-2-213146990554;aws;cloudwatch_cross_account_sharing_disabled;CloudWatch does not allow cross-account sharing;Software and Configuration Checks/AWS Security Best Practices | Software and Configuration Checks/Industry and Regulatory Standards/AWS Foundational Security Best Practices | Effects/Data Exposure;PASS;CloudWatch doesn't allow cross-account sharing.;False;cloudwatch;;medium;AwsIamRole;arn:aws:iam:ap-southeast-2:213146990554:role;213146990554;;;aws;ap-southeast-2;**Amazon CloudWatch** cross-account sharing via the `CloudWatch-CrossAccountSharingRole` allows other AWS accounts to view your metrics, dashboards, and alarms. The presence of this role indicates that sharing is active.;Granting other accounts visibility into observability data reduces **confidentiality** and enables **reconnaissance**. Adversaries or over-privileged partners can map architectures, profile workloads, and spot alerting gaps, increasing chances of **lateral movement** and **evasion**.;;Disable **cross-account sharing** unless strictly required. If needed, restrict access to specific trusted accounts, scope read-only permissions to only necessary resources, and use a dedicated monitoring account. Apply **least privilege** and **separation of duties**, and regularly audit role trust and access patterns.;https://hub.prowler.com/check/cloudwatch_cross_account_sharing_disabled;;;aws cloudformation delete-stack --stack-name CloudWatch-CrossAccountSharingRole;"1. Sign in to the AWS Management Console and open IAM
2. Go to Roles
3. Find and select the role named ""CloudWatch-CrossAccountSharingRole""
4. Click Delete and confirm
5. If deletion is blocked because it is managed by CloudFormation: open CloudFormation, select the stack named ""CloudWatch-CrossAccountSharingRole"", and click Delete";SOC2: pi_1_4 | KISA-ISMS-P-2023-korean: 2.6.2, 2.10.1, 2.10.2 | C5-2025: OIS-04.01AC, PSS-04.01B | ENS-RD2022: op.acc.4.aws.iam.1 | AWS-Well-Architected-Framework-Security-Pillar: SEC03-BP01 | KISA-ISMS-P-2023: 2.6.2, 2.10.1, 2.10.2;trust-boundaries | identity-access;;;;5.32.0;https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/Cross-Account-Cross-Region.html;;
profile: None;2026-07-14 16:40:35.360893;213146990554;;;;;;prowler-aws-config_delegated_admin_and_org_aggregator_all_regions-213146990554-ap-southeast-2-unknown;aws;config_delegated_admin_and_org_aggregator_all_regions;AWS Config has a delegated administrator and an organization aggregator covering all AWS regions;Software and Configuration Checks/AWS Security Best Practices | Software and Configuration Checks/Industry and Regulatory Standards/AWS Foundational Security Best Practices;FAIL;AWS Config has no Organization Aggregator configured in any region (delegated administrator status could not be determined).;False;config;;high;AwsConfigConfigurationAggregator;arn:aws:config:ap-southeast-2:213146990554:config-aggregator/unknown;unknown;;;aws;ap-southeast-2;**AWS Config** has a delegated administrator registered via AWS Organizations and at least one Configuration Aggregator with an OrganizationAggregationSource that covers all AWS regions, ensuring centralized org-wide configuration visibility.;Without an org-wide **AWS Config** aggregator and a delegated administrator, configuration data is fragmented across accounts and regions, **compliance reporting** is incomplete, and **drift detection** is delayed. Adversaries or misconfigurations can persist in unmonitored accounts, eroding **audit readiness** and **regulatory posture**.;;Register a **delegated administrator** for AWS Config via AWS Organizations and create at least one **Configuration Aggregator** with an OrganizationAggregationSource that covers **all AWS regions**. This centralizes configuration data across the organization for unified compliance and audit reporting.;https://hub.prowler.com/check/config_delegated_admin_and_org_aggregator_all_regions;;;aws organizations register-delegated-administrator --account-id <ADMIN_ACCOUNT_ID> --service-principal config.amazonaws.com && aws configservice put-configuration-aggregator --configuration-aggregator-name org-aggregator --organization-aggregation-source RoleArn=<ROLE_ARN>,AllAwsRegions=true;"1. From the AWS Organizations management account, register the delegated administrator for config.amazonaws.com
2. In the delegated admin account, open AWS Config
3. Create a Configuration Aggregator and select Add my organization as the source
4. Enable Include all AWS Regions
5. Confirm an IAM role with AWSConfigRoleForOrganizations is attached
6. Verify the aggregator status reaches SUCCEEDED for all member accounts";;forensics-ready;;config_recorder_all_regions_enabled | guardduty_delegated_admin_enabled_all_regions;This check requires execution from the organization management account or delegated administrator account to access organization-level APIs.;5.32.0;https://docs.aws.amazon.com/config/latest/developerguide/aggregate-data.html | https://docs.aws.amazon.com/config/latest/developerguide/set-up-aggregator-cli.html | https://docs.aws.amazon.com/organizations/latest/userguide/services-that-can-integrate-config.html;;
profile: None;2026-07-14 16:40:35.360893;213146990554;;;;;;prowler-aws-ec2_securitygroup_from_launch_wizard-213146990554-ap-southeast-2-sg-0e24f3f2bbca5b5fa;aws;ec2_securitygroup_from_launch_wizard;Security group not created using the EC2 Launch Wizard;Software and Configuration Checks/AWS Security Best Practices/Network Reachability;FAIL;Security group launch-wizard-9 (sg-0e24f3f2bbca5b5fa) was created using the EC2 Launch Wizard.;False;ec2;;medium;AwsEc2SecurityGroup;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0e24f3f2bbca5b5fa;sg-0e24f3f2bbca5b5fa;launch-wizard-9;;aws;ap-southeast-2;**EC2 security groups** whose names include `launch-wizard` are identified as created by the **EC2 Launch Wizard**, distinguishing auto-generated groups from curated, baseline-controlled groups.;"Wizard-generated groups often include **overly permissive rules** (e.g., `0.0.0.0/0` to admin ports), expanding exposure. Attackers can run **port scans** and **brute-force** to gain entry, then **lateral movement** and **data exfiltration**, impacting **confidentiality** and **integrity**; broad egress aids command-and-control.";;Replace or harden these groups. Apply **least privilege**: restrict inbound to required sources, avoid public admin ports, and minimize egress. Use approved baseline security groups, enforce change control with IaC and guardrails, prefer private administration (bastion or Session Manager), and remove unused rules.;https://hub.prowler.com/check/ec2_securitygroup_from_launch_wizard;"```yaml
# CloudFormation: create a security group not named by Launch Wizard
Resources:
  <example_resource_name>:
    Type: AWS::EC2::SecurityGroup
    Properties:
      GroupDescription: SG not created by Launch Wizard
      VpcId: <example_resource_id>
      GroupName: <example_resource_name>  # Critical: name does NOT contain ""launch-wizard"" to avoid FAIL
```";"```hcl
# Create a security group not named by Launch Wizard
resource ""aws_security_group"" ""<example_resource_name>"" {
  name   = ""<example_resource_name>""  # Critical: name does NOT contain ""launch-wizard"" to avoid FAIL
  vpc_id = ""<example_resource_id>""
}
```";aws ec2 delete-security-group --group-id <SECURITY_GROUP_ID>;"1. In the AWS console, go to EC2 > Network & Security > Security Groups
2. In the search box, filter by Name contains ""launch-wizard""
3. For each matching group, open the References tab and remove it from any ENIs/instances by replacing it with a different security group
4. Select the launch-wizard security group and choose Actions > Delete security group > Delete
5. Verify no security groups remain with names containing ""launch-wizard""";KISA-ISMS-P-2023-korean: 2.10.2 | ISO27001-2022: A.8.20, A.8.21, A.8.22 | ENS-RD2022: mp.com.1.aws.sg.1 | AWS-Well-Architected-Framework-Security-Pillar: SEC05-BP03 | KISA-ISMS-P-2023: 2.10.2;;;;;5.32.0;https://www.trendmicro.com/trendaivisiononecloudriskmanagement/knowledge-base/aws/EC2/security-group-prefixed-with-launch-wizard.html | https://docs.aws.amazon.com/eks/latest/userguide/sec-group-reqs.html;;
