PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;415019016144;ap-southeast-2;2026-07-10 17:01:17.072395;your-systems-3;Implement security configurations for all hardware and software assets.;your systems;;;aws;;FAIL;IAM password policy does not require at least one lowercase letter.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;iam_password_policy_lowercase;False;415019016144;CISA;CISA Cyber Essentials framework;
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;415019016144;ap-southeast-2;2026-07-10 17:01:17.072395;your-surroundings-4;Leverage unique passwords for all user accounts.;your surroundings;;;aws;;FAIL;IAM password policy does not require at least one lowercase letter.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;iam_password_policy_lowercase;False;415019016144;CISA;CISA Cyber Essentials framework;
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;415019016144;ap-southeast-2;2026-07-10 17:01:17.072395;your-systems-3;Implement security configurations for all hardware and software assets.;your systems;;;aws;;FAIL;IAM password policy does not require minimum length of 14 characters.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;iam_password_policy_minimum_length_14;False;415019016144;CISA;CISA Cyber Essentials framework;
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;415019016144;ap-southeast-2;2026-07-10 17:01:17.072395;your-surroundings-4;Leverage unique passwords for all user accounts.;your surroundings;;;aws;;FAIL;IAM password policy does not require minimum length of 14 characters.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;iam_password_policy_minimum_length_14;False;415019016144;CISA;CISA Cyber Essentials framework;
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;415019016144;ap-southeast-2;2026-07-10 17:01:17.072395;your-systems-3;Implement security configurations for all hardware and software assets.;your systems;;;aws;;FAIL;IAM password policy does not require at least one number.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;iam_password_policy_number;False;415019016144;CISA;CISA Cyber Essentials framework;
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;415019016144;ap-southeast-2;2026-07-10 17:01:17.072395;your-surroundings-4;Leverage unique passwords for all user accounts.;your surroundings;;;aws;;FAIL;IAM password policy does not require at least one number.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;iam_password_policy_number;False;415019016144;CISA;CISA Cyber Essentials framework;
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;415019016144;ap-southeast-2;2026-07-10 17:01:17.072395;your-systems-3;Implement security configurations for all hardware and software assets.;your systems;;;aws;;FAIL;IAM password policy does not require at least one symbol.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;iam_password_policy_symbol;False;415019016144;CISA;CISA Cyber Essentials framework;
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;415019016144;ap-southeast-2;2026-07-10 17:01:17.072395;your-surroundings-4;Leverage unique passwords for all user accounts.;your surroundings;;;aws;;FAIL;IAM password policy does not require at least one symbol.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;iam_password_policy_symbol;False;415019016144;CISA;CISA Cyber Essentials framework;
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;415019016144;ap-southeast-2;2026-07-10 17:01:17.072395;your-systems-3;Implement security configurations for all hardware and software assets.;your systems;;;aws;;FAIL;IAM password policy does not require at least one uppercase letter.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;iam_password_policy_uppercase;False;415019016144;CISA;CISA Cyber Essentials framework;
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;415019016144;ap-southeast-2;2026-07-10 17:01:17.072395;your-surroundings-4;Leverage unique passwords for all user accounts.;your surroundings;;;aws;;FAIL;IAM password policy does not require at least one uppercase letter.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;iam_password_policy_uppercase;False;415019016144;CISA;CISA Cyber Essentials framework;
