PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;The cybersecurity controls within NIST 800-171 safeguard CUI in the IT networks of government contractors and subcontractors. It defines the practices and procedures that government contractors must adhere to when their networks process or store CUI. NIST 800-171 only applies to those parts of a contractor’s network where CUI is present.;415019016144;ap-southeast-2;2026-07-10 17:23:12.798693;3_5_5;Identifiers are provided for users, processes acting on behalf of users, or devices (3.5.1). Preventing reuse of identifiers implies preventing the assignment of previously used individual, group, role, or device identifiers to different individuals, groups, roles, or devices.;3.5 Identification and Authentication;;;aws;;FAIL;Password expiration is not set.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;iam_password_policy_expires_passwords_within_90_days_or_less;False;415019016144;NIST-800-171-Revision-2;National Institute of Standards and Technology (NIST) 800-171 Revision 2;
aws;The cybersecurity controls within NIST 800-171 safeguard CUI in the IT networks of government contractors and subcontractors. It defines the practices and procedures that government contractors must adhere to when their networks process or store CUI. NIST 800-171 only applies to those parts of a contractor’s network where CUI is present.;415019016144;ap-southeast-2;2026-07-10 17:23:12.798693;3_5_6;Inactive identifiers pose a risk to organizational information because attackers may exploit an inactive identifier to gain undetected access to organizational devices. The owners of the inactive accounts may not notice if unauthorized access to the account has been obtained.;3.5 Identification and Authentication;;;aws;;FAIL;Password expiration is not set.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;iam_password_policy_expires_passwords_within_90_days_or_less;False;415019016144;NIST-800-171-Revision-2;National Institute of Standards and Technology (NIST) 800-171 Revision 2;
aws;The cybersecurity controls within NIST 800-171 safeguard CUI in the IT networks of government contractors and subcontractors. It defines the practices and procedures that government contractors must adhere to when their networks process or store CUI. NIST 800-171 only applies to those parts of a contractor’s network where CUI is present.;415019016144;ap-southeast-2;2026-07-10 17:23:12.798693;3_5_7;This requirement applies to single-factor authentication of individuals using passwords as individual or group authenticators, and in a similar manner, when passwords are used as part of multifactor authenticators. The number of changed characters refers to the number of changes required with respect to the total number of positions in the current password. To mitigate certain brute force attacks against passwords, organizations may also consider salting passwords.;3.5 Identification and Authentication;;;aws;;FAIL;Password expiration is not set.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;iam_password_policy_expires_passwords_within_90_days_or_less;False;415019016144;NIST-800-171-Revision-2;National Institute of Standards and Technology (NIST) 800-171 Revision 2;
aws;The cybersecurity controls within NIST 800-171 safeguard CUI in the IT networks of government contractors and subcontractors. It defines the practices and procedures that government contractors must adhere to when their networks process or store CUI. NIST 800-171 only applies to those parts of a contractor’s network where CUI is present.;415019016144;ap-southeast-2;2026-07-10 17:23:12.798693;3_5_8;Password lifetime restrictions do not apply to temporary passwords.;3.5 Identification and Authentication;;;aws;;FAIL;Password expiration is not set.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;iam_password_policy_expires_passwords_within_90_days_or_less;False;415019016144;NIST-800-171-Revision-2;National Institute of Standards and Technology (NIST) 800-171 Revision 2;
aws;The cybersecurity controls within NIST 800-171 safeguard CUI in the IT networks of government contractors and subcontractors. It defines the practices and procedures that government contractors must adhere to when their networks process or store CUI. NIST 800-171 only applies to those parts of a contractor’s network where CUI is present.;415019016144;ap-southeast-2;2026-07-10 17:23:12.798693;3_5_7;This requirement applies to single-factor authentication of individuals using passwords as individual or group authenticators, and in a similar manner, when passwords are used as part of multifactor authenticators. The number of changed characters refers to the number of changes required with respect to the total number of positions in the current password. To mitigate certain brute force attacks against passwords, organizations may also consider salting passwords.;3.5 Identification and Authentication;;;aws;;FAIL;IAM password policy does not require at least one lowercase letter.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;iam_password_policy_lowercase;False;415019016144;NIST-800-171-Revision-2;National Institute of Standards and Technology (NIST) 800-171 Revision 2;
aws;The cybersecurity controls within NIST 800-171 safeguard CUI in the IT networks of government contractors and subcontractors. It defines the practices and procedures that government contractors must adhere to when their networks process or store CUI. NIST 800-171 only applies to those parts of a contractor’s network where CUI is present.;415019016144;ap-southeast-2;2026-07-10 17:23:12.798693;3_5_7;This requirement applies to single-factor authentication of individuals using passwords as individual or group authenticators, and in a similar manner, when passwords are used as part of multifactor authenticators. The number of changed characters refers to the number of changes required with respect to the total number of positions in the current password. To mitigate certain brute force attacks against passwords, organizations may also consider salting passwords.;3.5 Identification and Authentication;;;aws;;FAIL;IAM password policy does not require minimum length of 14 characters.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;iam_password_policy_minimum_length_14;False;415019016144;NIST-800-171-Revision-2;National Institute of Standards and Technology (NIST) 800-171 Revision 2;
aws;The cybersecurity controls within NIST 800-171 safeguard CUI in the IT networks of government contractors and subcontractors. It defines the practices and procedures that government contractors must adhere to when their networks process or store CUI. NIST 800-171 only applies to those parts of a contractor’s network where CUI is present.;415019016144;ap-southeast-2;2026-07-10 17:23:12.798693;3_5_7;This requirement applies to single-factor authentication of individuals using passwords as individual or group authenticators, and in a similar manner, when passwords are used as part of multifactor authenticators. The number of changed characters refers to the number of changes required with respect to the total number of positions in the current password. To mitigate certain brute force attacks against passwords, organizations may also consider salting passwords.;3.5 Identification and Authentication;;;aws;;FAIL;IAM password policy does not require at least one number.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;iam_password_policy_number;False;415019016144;NIST-800-171-Revision-2;National Institute of Standards and Technology (NIST) 800-171 Revision 2;
aws;The cybersecurity controls within NIST 800-171 safeguard CUI in the IT networks of government contractors and subcontractors. It defines the practices and procedures that government contractors must adhere to when their networks process or store CUI. NIST 800-171 only applies to those parts of a contractor’s network where CUI is present.;415019016144;ap-southeast-2;2026-07-10 17:23:12.798693;3_5_5;Identifiers are provided for users, processes acting on behalf of users, or devices (3.5.1). Preventing reuse of identifiers implies preventing the assignment of previously used individual, group, role, or device identifiers to different individuals, groups, roles, or devices.;3.5 Identification and Authentication;;;aws;;FAIL;IAM password policy reuse prevention is less than 24 or not set.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;iam_password_policy_reuse_24;False;415019016144;NIST-800-171-Revision-2;National Institute of Standards and Technology (NIST) 800-171 Revision 2;
aws;The cybersecurity controls within NIST 800-171 safeguard CUI in the IT networks of government contractors and subcontractors. It defines the practices and procedures that government contractors must adhere to when their networks process or store CUI. NIST 800-171 only applies to those parts of a contractor’s network where CUI is present.;415019016144;ap-southeast-2;2026-07-10 17:23:12.798693;3_5_6;Inactive identifiers pose a risk to organizational information because attackers may exploit an inactive identifier to gain undetected access to organizational devices. The owners of the inactive accounts may not notice if unauthorized access to the account has been obtained.;3.5 Identification and Authentication;;;aws;;FAIL;IAM password policy reuse prevention is less than 24 or not set.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;iam_password_policy_reuse_24;False;415019016144;NIST-800-171-Revision-2;National Institute of Standards and Technology (NIST) 800-171 Revision 2;
aws;The cybersecurity controls within NIST 800-171 safeguard CUI in the IT networks of government contractors and subcontractors. It defines the practices and procedures that government contractors must adhere to when their networks process or store CUI. NIST 800-171 only applies to those parts of a contractor’s network where CUI is present.;415019016144;ap-southeast-2;2026-07-10 17:23:12.798693;3_5_7;This requirement applies to single-factor authentication of individuals using passwords as individual or group authenticators, and in a similar manner, when passwords are used as part of multifactor authenticators. The number of changed characters refers to the number of changes required with respect to the total number of positions in the current password. To mitigate certain brute force attacks against passwords, organizations may also consider salting passwords.;3.5 Identification and Authentication;;;aws;;FAIL;IAM password policy reuse prevention is less than 24 or not set.;arn:aws:iam:ap-southeast-2:415019016144:password-policy;iam_password_policy_reuse_24;False;415019016144;NIST-800-171-Revision-2;National Institute of Standards and Technology (NIST) 800-171 Revision 2;
