PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_FUNCTION;REQUIREMENTS_ATTRIBUTES_ASSETTYPE;REQUIREMENTS_ATTRIBUTES_IMPLEMENTATIONGROUPS;STATUS;STATUSEXTENDED;RESOURCEID;RESOURCENAME;CHECKID;MUTED;FRAMEWORK;NAME
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;17.2;Establish and maintain contact information for parties that need to be informed of security incidents. Contacts may include internal staff, service providers, law enforcement, cyber insurance providers, relevant government agencies, Information Sharing and Analysis Center (ISAC) partners, or other stakeholders. Verify contacts annually to ensure that information is up-to-date.;17. Incident Response Management;Govern;Documentation;IG1 | IG2 | IG3;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Contact Information.;arn:aws:iam::213146990554:root;213146990554;account_maintain_current_contact_details;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;17.2;Establish and maintain contact information for parties that need to be informed of security incidents. Contacts may include internal staff, service providers, law enforcement, cyber insurance providers, relevant government agencies, Information Sharing and Analysis Center (ISAC) partners, or other stakeholders. Verify contacts annually to ensure that information is up-to-date.;17. Incident Response Management;Govern;Documentation;IG1 | IG2 | IG3;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;arn:aws:iam::213146990554:root;213146990554;account_security_contact_information_is_registered;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;8.2;Collect audit logs. Ensure that logging, per the enterprise's audit log management process, has been enabled across enterprise assets.;8. Audit Log Management;Detect;Data;IG1 | IG2 | IG3;FAIL;Bedrock Model Invocation Logging is disabled.;arn:aws:bedrock:ap-southeast-2:213146990554:model-invocation-logging;model-invocation-logging;bedrock_model_invocation_logging_enabled;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;8.9;Centralize, to the extent possible, audit log collection and retention across enterprise assets in accordance with the documented audit log management process. Example implementations primarily include leveraging a SIEM tool to centralize multiple log sources.;8. Audit Log Management;Detect;Data;IG2 | IG3;FAIL;AWS Config has no Organization Aggregator configured in any region (delegated administrator status could not be determined).;arn:aws:config:ap-southeast-2:213146990554:config-aggregator/unknown;unknown;config_delegated_admin_and_org_aggregator_all_regions;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;4.4;Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.;4. Secure Configuration of Enterprise Assets and Software;Protect;Devices;IG1 | IG2 | IG3;PASS;Security group launch-wizard-9 (sg-0e24f3f2bbca5b5fa) has 1 inbound rules and 1 outbound rules.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0e24f3f2bbca5b5fa;sg-0e24f3f2bbca5b5fa;ec2_securitygroup_with_many_ingress_egress_rules;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;4.4;Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.;4. Secure Configuration of Enterprise Assets and Software;Protect;Devices;IG1 | IG2 | IG3;PASS;Security group Kali Linux-2025.4-amd64-AutogenByAWSMP--1 (sg-0dd8eae2e1153c210) has 2 inbound rules and 1 outbound rules.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0dd8eae2e1153c210;sg-0dd8eae2e1153c210;ec2_securitygroup_with_many_ingress_egress_rules;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;4.4;Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.;4. Secure Configuration of Enterprise Assets and Software;Protect;Devices;IG1 | IG2 | IG3;PASS;Security group launch-wizard-24 (sg-01b40d1c357914bca) has 1 inbound rules and 1 outbound rules.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-01b40d1c357914bca;sg-01b40d1c357914bca;ec2_securitygroup_with_many_ingress_egress_rules;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;4.4;Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.;4. Secure Configuration of Enterprise Assets and Software;Protect;Devices;IG1 | IG2 | IG3;PASS;Security group launch-wizard-14 (sg-00b892f9efa4e0814) has 5 inbound rules and 1 outbound rules.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-00b892f9efa4e0814;sg-00b892f9efa4e0814;ec2_securitygroup_with_many_ingress_egress_rules;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;4.4;Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.;4. Secure Configuration of Enterprise Assets and Software;Protect;Devices;IG1 | IG2 | IG3;PASS;Security group launch-wizard-15 (sg-0bc66643e651629dd) has 3 inbound rules and 1 outbound rules.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0bc66643e651629dd;sg-0bc66643e651629dd;ec2_securitygroup_with_many_ingress_egress_rules;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;4.4;Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.;4. Secure Configuration of Enterprise Assets and Software;Protect;Devices;IG1 | IG2 | IG3;PASS;Security group launch-wizard-12 (sg-04a9ab6d35a6a8de4) has 3 inbound rules and 1 outbound rules.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-04a9ab6d35a6a8de4;sg-04a9ab6d35a6a8de4;ec2_securitygroup_with_many_ingress_egress_rules;False;CIS-Controls;CIS Controls v8.1
