PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_NAME;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_CATEGORY;REQUIREMENTS_ATTRIBUTES_OBJETIVE_ID;REQUIREMENTS_ATTRIBUTES_OBJETIVE_NAME;REQUIREMENTS_ATTRIBUTES_CHECK_SUMMARY;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;A.5.5;Contact With Authorities;The organisation should establish and maintain contact with relevant authorities.;A.5 Organizational controls;A.5.5;Contact With Authorities;The organisation should establish and maintain contact with relevant authorities.;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Contact Information.;arn:aws:iam::213146990554:root;account_maintain_current_contact_details;False;213146990554;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;A.5.5;Contact With Authorities;The organisation should establish and maintain contact with relevant authorities.;A.5 Organizational controls;A.5.5;Contact With Authorities;The organisation should establish and maintain contact with relevant authorities.;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;arn:aws:iam::213146990554:root;account_security_contact_information_is_registered;False;213146990554;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;A.8.2;Privileged Access Rights;The allocation and use of privileged access rights should be restricted and managed.;A.8 Technological controls;A.8.2;Privileged Access Rights;The allocation and use of privileged access rights should be restricted and managed.;PASS;IAM Role Omico-2IDP does not have AmazonBedrockFullAccess policy attached.;arn:aws:iam::213146990554:role/Omico-2IDP;bedrock_full_access_policy_attached;False;Omico-2IDP;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;A.8 Technological controls;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;FAIL;Bedrock Model Invocation Logging is disabled.;arn:aws:bedrock:ap-southeast-2:213146990554:model-invocation-logging;bedrock_model_invocation_logging_enabled;False;model-invocation-logging;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;A.8.20;Network Security;Networks and network devices should be secured, managed and controlled to protect information in systems and applications.;A.8 Technological controls;A.8.20;Network Security;Networks and network devices should be secured, managed and controlled to protect information in systems and applications.;FAIL;Security group launch-wizard-9 (sg-0e24f3f2bbca5b5fa) was created using the EC2 Launch Wizard.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0e24f3f2bbca5b5fa;ec2_securitygroup_from_launch_wizard;False;sg-0e24f3f2bbca5b5fa;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;A.8.21;Security of Network Services;Security mechanisms, service levels and service requirements of network services should be identified, implemented and monitored.;A.8 Technological controls;A.8.21;Security of Network Services;Security mechanisms, service levels and service requirements of network services should be identified, implemented and monitored.;FAIL;Security group launch-wizard-9 (sg-0e24f3f2bbca5b5fa) was created using the EC2 Launch Wizard.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0e24f3f2bbca5b5fa;ec2_securitygroup_from_launch_wizard;False;sg-0e24f3f2bbca5b5fa;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;A.8.22;Segregation of Networks;Security mechanisms, service levels and service requirements of network services should be identified, implemented and monitored.;A.8 Technological controls;A.8.22;Segregation of Networks;Security mechanisms, service levels and service requirements of network services should be identified, implemented and monitored.;FAIL;Security group launch-wizard-9 (sg-0e24f3f2bbca5b5fa) was created using the EC2 Launch Wizard.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0e24f3f2bbca5b5fa;ec2_securitygroup_from_launch_wizard;False;sg-0e24f3f2bbca5b5fa;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;A.8.20;Network Security;Networks and network devices should be secured, managed and controlled to protect information in systems and applications.;A.8 Technological controls;A.8.20;Network Security;Networks and network devices should be secured, managed and controlled to protect information in systems and applications.;PASS;Security group Kali Linux-2025.4-amd64-AutogenByAWSMP--1 (sg-0dd8eae2e1153c210) was not created using the EC2 Launch Wizard.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0dd8eae2e1153c210;ec2_securitygroup_from_launch_wizard;False;sg-0dd8eae2e1153c210;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;A.8.21;Security of Network Services;Security mechanisms, service levels and service requirements of network services should be identified, implemented and monitored.;A.8 Technological controls;A.8.21;Security of Network Services;Security mechanisms, service levels and service requirements of network services should be identified, implemented and monitored.;PASS;Security group Kali Linux-2025.4-amd64-AutogenByAWSMP--1 (sg-0dd8eae2e1153c210) was not created using the EC2 Launch Wizard.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0dd8eae2e1153c210;ec2_securitygroup_from_launch_wizard;False;sg-0dd8eae2e1153c210;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;A.8.22;Segregation of Networks;Security mechanisms, service levels and service requirements of network services should be identified, implemented and monitored.;A.8 Technological controls;A.8.22;Segregation of Networks;Security mechanisms, service levels and service requirements of network services should be identified, implemented and monitored.;PASS;Security group Kali Linux-2025.4-amd64-AutogenByAWSMP--1 (sg-0dd8eae2e1153c210) was not created using the EC2 Launch Wizard.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0dd8eae2e1153c210;ec2_securitygroup_from_launch_wizard;False;sg-0dd8eae2e1153c210;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
